"file","caption","alt_text","category","png_time","StartTime"
"ts7_Spawning_output.png","Spawning output",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts8_Spawning_output_by_area.png","Spawning output by area",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts9_Relative_spawning_output.png","Relative spawning output: B/B_0",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts10_Relative_spawning_output.png","Relative spawning output: B/B_0 by area",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts1_Total_biomass_(mt).png","Total biomass (mt)",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts2_Total_biomass_(mt)_by_area.png","Total biomass (mt) by area",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts3_Total_biomass_(mt)_at_beginning_of_season_2_by_area.png","Total biomass (mt) at beginning of season 2 by area",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts4_Summary_biomass_(mt).png","Summary biomass (mt)",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts5_Summary_biomass_(mt)_by_area.png","Summary biomass (mt) by area",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts6_Summary_biomass_(mt)_at_beginning_of_season_2_by_area.png","Summary biomass (mt) at beginning of season 2 by area",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts11_Age-0_recruits_(1000s).png","Age-0 recruits (1,000s)",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts12_Age-0_recruits_(1000s)_by_area.png","Age-0 recruits (1,000s) by area",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts13_Fraction_of_total_Age-0_recruits_by_area.png","Fraction of total Age-0 recruits by area",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts14_Age-0_recruits_(1000s)_by_birth_season.png","Age-0 recruits (1,000s) by birth season",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts15_Fraction_of_total_Age-0_recruits_by_birth_season.png","Fraction of total Age-0 recruits by birth season",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"ts_summaryF.png","Summary F (definition of F depends on setting in starter.ss)",NA,"Timeseries",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index1_cpuedata_VAST_N_Spr.png","Index data for VAST_N_Spr. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index2_cpuefit_VAST_N_Spr.png","Fit to index data for VAST_N_Spr. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index3_obs_vs_exp_VAST_N_Spr.png","Observed vs. expected index values with smoother for VAST_N_Spr",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index4_logcpuedata_VAST_N_Spr.png","Log index data for VAST_N_Spr. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index5_logcpuefit_VAST_N_Spr.png","Fit to log index data on log scale for VAST_N_Spr. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index6_log_obs_vs_exp_VAST_N_Spr.png","log(observed) vs. log(expected) index values with smoother for VAST_N_Spr",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index10_resids_SE_total_VAST_N_Spr.png","Residuals of fit to index for VAST_N_Spr.<br>Values are (log(Obs) - log(Exp))/SE where SE is the total standard error including any estimated additional uncertainty.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index12_resids_SE_total_VAST_N_Spr.png","Deviations for fit to index for VAST_N_Spr.<br>Values are log(Obs) - log(Exp) and thus independent of index uncertainty.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index1_cpuedata_VAST_S_Spr.png","Index data for VAST_S_Spr. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index2_cpuefit_VAST_S_Spr.png","Fit to index data for VAST_S_Spr. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index3_obs_vs_exp_VAST_S_Spr.png","Observed vs. expected index values with smoother for VAST_S_Spr",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index4_logcpuedata_VAST_S_Spr.png","Log index data for VAST_S_Spr. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index5_logcpuefit_VAST_S_Spr.png","Fit to log index data on log scale for VAST_S_Spr. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index6_log_obs_vs_exp_VAST_S_Spr.png","log(observed) vs. log(expected) index values with smoother for VAST_S_Spr",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index10_resids_SE_total_VAST_S_Spr.png","Residuals of fit to index for VAST_S_Spr.<br>Values are (log(Obs) - log(Exp))/SE where SE is the total standard error including any estimated additional uncertainty.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index12_resids_SE_total_VAST_S_Spr.png","Deviations for fit to index for VAST_S_Spr.<br>Values are log(Obs) - log(Exp) and thus independent of index uncertainty.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index1_cpuedata_VAST_N_Fall.png","Index data for VAST_N_Fall. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index2_cpuefit_VAST_N_Fall.png","Fit to index data for VAST_N_Fall. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index3_obs_vs_exp_VAST_N_Fall.png","Observed vs. expected index values with smoother for VAST_N_Fall",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index4_logcpuedata_VAST_N_Fall.png","Log index data for VAST_N_Fall. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index5_logcpuefit_VAST_N_Fall.png","Fit to log index data on log scale for VAST_N_Fall. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index6_log_obs_vs_exp_VAST_N_Fall.png","log(observed) vs. log(expected) index values with smoother for VAST_N_Fall",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index10_resids_SE_total_VAST_N_Fall.png","Residuals of fit to index for VAST_N_Fall.<br>Values are (log(Obs) - log(Exp))/SE where SE is the total standard error including any estimated additional uncertainty.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index12_resids_SE_total_VAST_N_Fall.png","Deviations for fit to index for VAST_N_Fall.<br>Values are log(Obs) - log(Exp) and thus independent of index uncertainty.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index1_cpuedata_VAST_S_Fall.png","Index data for VAST_S_Fall. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
"index2_cpuefit_VAST_S_Fall.png","Fit to index data for VAST_S_Fall. Lines indicate 95% uncertainty interval around index values based on the model assumption of lognormal error. Thicker lines (if present) indicate input uncertainty before addition of estimated additional uncertainty parameter.",NA,"Index",2023-11-14 16:40:17,"StartTime: Tue Nov 14 07:25:49 2023"
